"","edon.x","escenario1.x","escenario3jge","dsi_E1_E3_sec","edon.y","disloc2018","disloc2012","escenario1.y","escenario3cg","dsi_E1_E3_pob","pob_total","dif"
"1",17,1,1,0.434,17,9,9,1,1,0.484600265442793,2107,0.050600265442793
"2",17,4,1,0.434,17,9,9,1,1,0.484600265442793,2107,0.050600265442793
"3",17,11,11,0.788,17,4,13,11,11,0.608560662494359,2745,0.179439337505641
"4",17,12,11,0.94,17,4,13,11,11,0.608560662494359,2745,0.331439337505641
"5",17,11,11,0.788,17,4,13,11,11,0.608560662494359,2745,0.179439337505641
"6",17,2,2,0.434,17,11,18,2,2,0.424086280335869,3542,0.00991371966413102
"7",17,1,2,0.434,17,11,18,2,2,0.424086280335869,3542,0.00991371966413102
"8",17,3,3,0.742,17,10,16,3,3,0.748962141762,1941,0.00696214176200005
"9",17,3,3,0.742,17,10,16,3,3,0.748962141762,1941,0.00696214176200005
"10",17,1,1,0.434,17,9,8,4,1,0.484600265442793,1071,0.050600265442793
"11",17,4,1,0.434,17,9,8,4,1,0.484600265442793,1071,0.050600265442793
"12",17,11,11,0.788,17,4,14,12,12,0.608560662494359,5717,0.179439337505641
"13",17,12,11,0.94,17,4,14,12,12,0.608560662494359,5717,0.331439337505641
"14",17,11,11,0.788,17,4,14,12,12,0.608560662494359,5717,0.179439337505641
"15",17,10,9,0.876,17,2,1,10,9,0.894333565332982,4047,0.018333565332982
"16",17,10,9,0.876,17,2,1,10,9,0.894333565332982,4047,0.018333565332982
"17",17,10,9,0.876,17,2,1,10,9,0.894333565332982,4047,0.018333565332982
"18",17,8,8,0.936,17,1,1,8,8,0.937625624903365,3264,0.00162562490336493
"19",17,9,10,0.844,17,3,2,9,10,0.887508068710949,2520,0.043508068710949
"20",NA,NA,NA,NA,17,5,4,NA,NA,0,5979,NA
"21",17,5,4,1,17,8,5,5,4,1,5445,0
"22",17,6,6,1,17,6,6,6,6,1,1865,0
"23",17,6,6,1,17,6,6,6,6,1,1865,0
"24",NA,NA,7,NA,17,12,6,7,7,1,6275,NA
