"seccion","munn","edon","disloc2018","disloc2012","pobtot","esc1","esc3","urbana","rural","mixta","pan","pri","prd","pob_dist","pob_edo","RRI","RRI_2012","RRI_2018","SQ","dsi_pob","prop_urbana","prop_rural","prop_mixta","prop_bastion_pan","prop_bastion_pri","prop_bastion_prd","SQ_","dsi_sec"
1,1,16,14,19,1889,5,14,0,1,1,0,1,0,186652,4319681,0,1.08871708403904,0.964290274593004,19,0.886,0.163,0.837,0.149,0.11,0.415,0.476,19,0.845
11,2,16,10,21,2596,8,10,0,1,1,0,0,0,167855,4319681,0,1.26196648764116,1.07227492975088,21,0.85,0.098,0.903,0.211,0.013,0.338,0.649,21,0.897
26,3,16,12,8,1894,9,12,0,1,1,0,0,0,167583,4319681,0,0.878802730023257,1.0740153138047,8,0.742,0.197,0.803,0.162,0.069,0.431,0.5,8,0.696
38,4,16,9,2,1073,13,9,1,0,0,0,0,0,187393,4319681,0,1.13906266151097,0.960477223446625,2,0.759,0.297,0.703,0.135,0.082,0.268,0.649,2,0.709
52,5,16,2,13,986,14,2,1,0,0,0,1,0,189009,4319681,0,0.952265280136572,0.952265280136572,13,1,0.402,0.598,0.075,0.016,0.516,0.468,13,1
58,6,16,11,23,2653,3,11,1,0,0,0,0,1,171913,4319681,0,1.21265232262527,1.04696391973459,23,0.628,0.538,0.462,0.077,0,0.232,0.768,23,0.656
132,7,16,8,3,1459,15,8,0,1,1,0,1,0,179574,4319681,0,1.00229826329721,1.00229826329721,3,1,0.113,0.887,0.148,0.065,0.143,0.792,3,1
170,10,16,16,22,2906,3,16,0,1,1,0,0,1,175471,4319681,0,1.19454390494268,1.02573478428534,22,0.859,0.233,0.767,0.155,0,0.247,0.753,22,0.872
184,11,16,1,4,1475,11,1,1,0,0,0,1,0,183307,4319681,0,0.890767543642584,0.981886716455636,4,0.907,0.667,0.333,0.07,0.405,0.206,0.389,4,0.887
213,13,16,6,18,3422,4,6,0,1,1,0,0,1,176760,4319681,0,1.2973230524902,1.0182547427774,18,0.71,0.075,0.925,0.129,0,0.419,0.581,18,0.764
257,16,16,4,7,875,10,4,0,1,1,0,0,1,188737,4319681,0,0.984814722608274,0.953637645683323,7,0.215,0.518,0.481,0.114,0.085,0.217,0.698,7,0.248
305,19,16,15,9,1362,2,15,1,0,0,0,0,0,182345,4319681,0,1.0251388786051,0.987066869578729,9,0.436,0.413,0.587,0.119,0.414,0.299,0.287,9,0.453
361,23,16,15,5,744,2,15,1,0,0,0,0,0,182345,4319681,0,0.89154411157673,0.987066869578729,9,0.436,0.429,0.572,0.182,0.313,0.388,0.299,9,0.453
411,28,16,5,1,1178,13,5,0,1,1,0,1,0,190178,4319681,0,0.931777021372057,0.94641182646433,1,0.849,0.435,0.565,0.081,0.321,0.358,0.321,1,0.806
457,32,16,4,15,2060,10,4,0,1,1,0,1,0,188737,4319681,0,0.840576249787894,0.953637645683323,7,0.215,0.333,0.667,0.156,0.078,0.097,0.825,7,0.248
480,34,16,3,12,6009,12,3,1,0,0,1,0,0,191995,4319681,0,0.939451572044728,0.937455185464899,12,0.613,0.172,0.828,0.166,0.33,0.291,0.379,12,0.601
806,50,16,18,24,10135,18,18,1,0,0,0,0,1,178818,4319681,0,1.00653574211396,1.00653574211396,24,1,0.736,0.264,0.097,0.018,0.055,0.927,24,1
941,54,16,20,10,1544,22,20,1,0,0,0,0,0,181589,4319681,0,0.91746164642155,0.991176273526113,10,0.688,0.803,0.197,0.026,0.448,0.414,0.138,10,0.577
962,54,16,21,11,1116,22,21,1,0,0,1,0,0,182274,4319681,0,1.18934210207511,0.987451355285632,16,0.457,0.968,0.032,0.011,0.886,0.114,0,16,0.31
1043,54,16,19,17,358,21,19,1,0,0,1,0,0,182948,4319681,0,1.14666047636643,0.9838134788756,17,0.467,0.863,0.137,0.021,0.878,0.041,0.081,17,0.41
1046,54,16,19,16,412,22,19,1,0,0,1,0,0,182948,4319681,0,0.838836859038591,0.9838134788756,17,0.467,0.789,0.21,0.063,0.771,0.125,0.104,17,0.41
1349,59,16,11,20,3297,8,11,0,1,1,0,1,0,171913,4319681,0,0.799457698161704,1.04696391973459,23,0.628,0.69,0.31,0.05,0.432,0.216,0.351,23,0.656
1440,66,16,4,14,3146,10,4,1,0,0,0,0,1,188737,4319681,0,1.04502478246396,0.953637645683323,7,0.215,0.727,0.273,0.081,0.382,0.039,0.579,7,0.248
2436,109,16,17,6,2485,17,17,1,0,0,1,0,0,186116,4319681,0,0.96706735763359,0.96706735763359,6,1,0.769,0.231,0.077,0.875,0.036,0.089,6,1
