"seccion","munn","edon","disloc2017","disloc2013","pobtot","esc1","esc3","urbana","rural","mixta","pan","pri","prd","pob_dist","pob_edo","RRI","RRI_2013","RRI_2017","SQ","dsi_pob","E1","dsi_pob_e","prop_urbana","prop_rural","prop_mixta","prop_bastion_pan","prop_bastion_pri","prop_bastion_prd","SQ_","dsi_sec","E1_","dsi_sec_e","E3","E3_"
1,1,25,3,3,19421,19,3,1,0,0,0,0,0,113387,2735853,0,0.468559123829567,1.00535224496635,4,0.772,19,0.772,0.684,0.317,0.102,0.123,0.877,0,4,0.594,19,0.594,3,3
7,1,25,3,3,791,24,3,1,0,0,0,1,0,113387,2735853,0,0.468559123829567,1.00535224496635,4,0.772,19,0.611,0.684,0.317,0.102,0.123,0.877,0,4,0.594,19,0.556,9,9
83,1,25,9,3,5086,21,9,1,0,0,0,1,0,113089,2735853,0,0.468559123829567,1.00800144134266,3,0.611,24,0.479,0.684,0.317,0.102,0.123,0.877,0,3,0.556,24,0.424,8,8
242,1,25,7,4,954,22,7,0,1,0,0,1,0,112683,2735853,0,0.648802070586628,1.01163329872297,3,0.943,22,0.943,0.696,0.305,0.111,0.17,0.83,0,3,0.926,22,0.926,7,7
456,2,25,2,8,1151,1,2,1,0,0,0,1,0,124149,2735853,0,2.50662697627372,0.918202120033186,9,1,1,1,0.457,0.543,0.165,0,0.939,0.061,9,1,1,1,2,2
563,3,25,23,11,707,16,23,0,1,1,0,1,0,105676,2735853,0,3.83778995387671,1.07871110753624,10,1,16,1,0.029,0.971,0.058,0,1,0,10,1,16,1,23,23
629,4,25,11,21,644,5,11,0,1,1,0,1,0,115449,2735853,0,4.05124298102211,0.987395949726719,20,0.802,5,0.802,0.167,0.833,0.25,0.05,0.95,0,20,0.736,5,0.736,11,11
675,5,25,19,16,844,15,19,1,0,0,0,1,0,116877,2735853,0,7.16807363390555,0.975331972928806,17,0.722,10,0.212,0.167,0.834,0.056,0,1,0,17,0.683,10,0.211,15,15
710,6,25,18,24,1241,13,18,1,0,0,0,1,0,117950,2735853,0,0.501389340945478,0.966459304790165,24,0.388,14,0.549,0.876,0.124,0.018,0.198,0.802,0,24,0.172,14,0.433,20,20
721,6,25,18,24,428,14,18,1,0,0,0,0,0,117950,2735853,0,0.501389340945478,0.966459304790165,24,0.388,14,0.17,0.876,0.124,0.018,0.198,0.802,0,24,0.172,14,0.282,21,21
865,6,25,21,24,382,9,21,1,0,0,0,0,0,118120,2735853,0,0.501389340945478,0.965068362682018,24,0.17,14,0.315,0.876,0.124,0.018,0.198,0.802,0,24,0.282,14,0.363,22,22
934,6,25,21,24,5754,12,21,1,0,0,0,0,0,118120,2735853,0,0.501389340945478,0.965068362682018,24,0.17,14,0.128,0.876,0.124,0.018,0.198,0.802,0,24,0.282,14,0.17,21,21
1005,6,25,17,13,1057,8,17,1,0,0,0,0,0,117036,2735853,0,0.405278412787576,0.97400692949178,13,0.313,12,0.603,0.864,0.136,0.059,0.025,0.975,0,13,0.22,12,0.368,16,16
1151,6,25,16,13,14490,11,16,1,0,0,0,1,0,117473,2735853,0,0.405278412787576,0.970383620065888,13,0.603,8,0.295,0.864,0.136,0.059,0.025,0.975,0,13,0.368,8,0.401,15,15
1618,6,25,15,14,379,10,15,0,1,0,0,1,0,116655,2735853,0,0.916946524666383,0.977188075950452,14,0.295,11,0.722,0.408,0.592,0.099,0.011,0.989,0,14,0.401,11,0.683,19,19
1726,7,25,1,1,1897,2,1,0,1,1,1,0,0,131861,2735853,0,3.46897157724963,0.864500307141611,2,0.751,18,0.579,0.143,0.857,0.091,0.464,0.536,0,2,0.715,18,0.628,5,5
1860,9,25,10,23,128,3,10,1,0,0,0,0,0,103275,2735853,0,2.12121092296241,1.10378963931252,22,1,3,1,0.519,0.481,0.169,0.038,0.962,0,22,1,3,1,10,10
1925,10,25,1,2,462,18,1,1,0,0,1,0,0,131861,2735853,0,1.15145328282828,0.864500307141611,2,0.751,18,0.751,0.29,0.71,0.12,0.209,0.791,0,2,0.715,18,0.715,1,1
2101,11,25,6,6,3065,23,6,0,1,1,0,0,0,110649,2735853,0,0.697619856307067,1.03022959990601,6,0.403,23,0.403,0.562,0.438,0.117,0.016,0.922,0.062,6,0.349,23,0.349,6,6
2102,11,25,4,6,889,20,4,1,0,0,0,0,0,110494,2735853,0,0.697619856307067,1.03167479682155,7,0.464,20,0.464,0.562,0.438,0.117,0.016,0.922,0.062,7,0.456,20,0.456,4,4
2540,12,25,11,20,268,4,11,1,0,0,1,0,0,115449,2735853,0,1.38643260237652,0.987395949726719,20,0.802,5,0.821,0.787,0.213,0.066,0.325,0.675,0,20,0.736,5,0.829,12,12
2603,12,25,11,20,384,7,11,1,0,0,0,0,0,115449,2735853,0,1.38643260237652,0.987395949726719,20,0.802,5,0.48,0.787,0.213,0.066,0.325,0.675,0,20,0.736,5,0.345,13,13
2667,12,25,14,19,3658,6,14,1,0,0,1,0,0,99480,2735853,0,0.347078824618345,1.14589741656614,19,0.586,6,0.586,0.86,0.14,0.036,0.547,0.453,0,19,0.56,6,0.56,14,14
3614,18,25,24,15,139,17,24,1,0,0,1,0,0,104848,2735853,0,0.842458299768681,1.08722984701663,15,1,17,1,0.404,0.596,0.163,0.111,0.873,0.016,15,1,17,1,24,24
